"Variables ->","yn","l_yn","pyn","l_pyn","nyn","l_nyn","l_cpi","l_cpi_u","l_cpi_tw","l_cpi_us","auct","l_auct","ofr","l_ofr","ni","ni_us","inv_ne_us","ne_us","ne_tw","inv_ne_tw","l_ne_us","l_ne_tw","l_y_tw_gap","poil_us","l_poil_us","l_ne_cross","ne_cross","inv_ne_cross","l_ne_us_tar","dl_cpi_tar","l_oil","l_gex","l_cpi_core","l_cpi_core_u","l_re_tw","dl_yn","dl_pyn","dl_nyn","dl_cpi","dl_cpi_u","dl_cpi_tw","dl_cpi_us","dl_auct","dl_ofr","dl_ne_us","dl_ne_tw","dl_y_tw_gap","dl_poil_us","dl_ne_cross","dl_ne_us_tar","dl_oil","dl_gex","dl_cpi_core","dl_cpi_core_u","dl_re_tw","d4l_yn","d4l_pyn","d4l_nyn","d4l_cpi","d4l_cpi_u","d4l_cpi_tw","d4l_cpi_us","d4l_auct","d4l_ofr","d4l_ne_us","d4l_ne_tw","d4l_y_tw_gap","d4l_poil_us","d4l_ne_cross","d4l_ne_us_tar","d4l_oil","d4l_gex","d4l_cpi_core","d4l_cpi_core_u","d4l_re_tw","dl_cpi_nonc","dl_cpi_nonc_u","l_cpi_nonc"
"2018Q3",3.69197000e+03,8.21391547e+02,2.94594206e+02,5.68559884e+02,1.08763297e+06,1.38995143e+03,5.69778962e+02,5.68772084e+02,5.87075150e+02,5.52765384e+02,1.70991000e+00,5.36440738e+01,5.53454851e+00,1.71100999e+02,1.00000000e+01,1.93333333e+00,1.70000000e+00,5.88235294e-01,7.37100000e-01,1.35666802e+00,-5.30628251e+01,-3.05031711e+01,7.76335345e-01,7.54800000e+01,4.32386772e+02,2.25596540e+01,1.25307000e+00,7.98040014e-01,-5.30628251e+01,6.00000000e+00,8.33658752e+02,1.97594965e+02,5.62689213e+02,5.62276485e+02,-4.77993595e+01,3.81994643e+00,2.89409295e+00,6.71403938e+00,4.17634529e+00,-1.62261057e+00,1.23877272e+01,1.71471331e+00,6.88634801e+01,1.58483139e+00,0.00000000e+00,2.86800714e+01,-3.70692381e+00,5.28113292e+00,2.86800714e+01,0.00000000e+00,5.24990245e+00,7.59475960e+00,5.84039465e+00,5.17913355e+00,2.04686895e+01,2.30509356e+00,2.26343371e-02,2.32772790e+00,1.86404495e+00,1.88404185e+00,7.22507758e+00,2.60643258e+00,9.75612589e+01,6.86288216e+00,0.00000000e+00,1.39070281e+01,1.88328159e-01,3.77636544e+01,1.39070281e+01,0.00000000e+00,3.69358881e+01,3.47663490e+00,1.66380263e+00,1.69179028e+00,8.54599547e+00,2.93563432e-01,-1.74933468e+01,1.47280753e+02
"2018Q4",3.73620000e+03,8.22582433e+02,2.96427803e+02,5.69180369e+02,1.10751356e+06,1.39176280e+03,5.70384109e+02,5.70064422e+02,5.87989152e+02,5.53268334e+02,1.80772900e+00,5.92071361e+01,5.62574350e+00,1.72735312e+02,9.75000000e+00,2.23333333e+00,1.70000000e+00,5.88235294e-01,7.25600000e-01,1.37816979e+00,-5.30628251e+01,-3.20756380e+01,2.99784657e-01,6.73700000e+01,4.21019981e+02,2.09871871e+01,1.23352000e+00,8.10688112e-01,-5.30628251e+01,6.00000000e+00,8.22712464e+02,1.96138737e+02,5.62966794e+02,5.62975438e+02,-4.96806813e+01,4.76354448e+00,2.48194193e+00,7.24548641e+00,2.42058692e+00,5.16935242e+00,3.65600605e+00,2.01180198e+00,2.22522495e+01,6.53724987e+00,0.00000000e+00,-6.28986776e+00,-1.90620275e+00,-4.54671622e+01,-6.28986776e+00,0.00000000e+00,-4.37851491e+01,-5.82491046e+00,1.11032419e+00,2.79580973e+00,-7.52528689e+00,2.90457922e+00,3.35459260e+00,6.25917181e+00,1.24896616e+00,1.25169871e+00,6.77219085e+00,2.17971612e+00,5.29282495e+01,5.31392303e+00,0.00000000e+00,9.59719202e+00,-7.36370419e-01,9.16505641e+00,9.59719202e+00,0.00000000e+00,5.89581951e+00,4.89205919e+00,2.09414839e+00,2.09119182e+00,4.07396733e+00,5.47786661e+00,1.07076187e+01,1.48650219e+02
"2019Q1",3.76230000e+03,8.23278575e+02,2.97067466e+02,5.69395927e+02,1.11765693e+06,1.39267450e+03,5.70723327e+02,5.71594159e+02,5.89335420e+02,5.53608957e+02,1.21454122e+00,1.94366406e+01,5.77856019e+00,1.75415455e+02,9.33333333e+00,2.40000000e+00,1.70000000e+00,5.88235294e-01,7.24100000e-01,1.38102472e+00,-5.30628251e+01,-3.22825775e+01,6.38038374e-01,6.32700000e+01,4.14741128e+02,2.07802476e+01,1.23097000e+00,8.12367483e-01,-5.30628251e+01,6.00000000e+00,8.15068742e+02,1.97829981e+02,5.62839341e+02,5.63474490e+02,-5.08946697e+01,2.78456816e+00,8.62232649e-01,3.64680081e+00,1.35687528e+00,6.11894533e+00,5.38507123e+00,1.36249200e+00,-1.59081982e+02,1.07205729e+01,0.00000000e+00,-8.27757762e-01,1.35301487e+00,-2.51154127e+01,-8.27757762e-01,0.00000000e+00,-3.05748881e+01,6.76497674e+00,-5.09813365e-01,1.99620709e+00,-4.85595371e+00,3.14848246e+00,2.60460215e+00,5.75308460e+00,2.20348261e+00,2.18391449e+00,7.02456059e+00,1.63234730e+00,-1.93406463e+00,4.79535069e+00,0.00000000e+00,1.17230778e+01,-1.19619126e+00,-5.65347890e+00,1.17230778e+01,0.00000000e+00,-7.85696150e+00,6.12067677e+00,3.01685113e+00,2.99074449e+00,6.90199984e+00,5.71248210e+00,1.57386679e+01,1.50078340e+02
"2019Q2",3.81614000e+03,8.24699472e+02,2.96519993e+02,5.69211465e+02,1.13156181e+06,1.39391094e+03,5.71728040e+02,5.72158965e+02,5.90419146e+02,5.54131031e+02,1.42902478e+00,3.56992242e+01,5.93943359e+00,1.78161377e+02,8.66666667e+00,2.40000000e+00,1.70000000e+00,5.88235294e-01,7.33600000e-01,1.36314068e+00,-5.30628251e+01,-3.09791358e+01,7.80227002e-01,6.83400000e+01,4.22449525e+02,2.20836893e+01,1.24712000e+00,8.01847457e-01,-5.30628251e+01,6.00000000e+00,8.15387279e+02,1.98479682e+02,5.63910890e+02,5.63674390e+02,-4.96702412e+01,5.68358721e+00,-7.37849759e-01,4.94573745e+00,4.01885195e+00,2.25922513e+00,4.33490470e+00,2.08829587e+00,6.50503346e+01,1.09836897e+01,0.00000000e+00,5.21376662e+00,5.68754512e-01,3.08335854e+01,5.21376662e+00,0.00000000e+00,1.27414466e+00,2.59880366e+00,4.28619963e+00,7.99600193e-01,4.89771387e+00,4.26291157e+00,1.37510444e+00,5.63801601e+00,2.99316486e+00,2.98122808e+00,6.44092730e+00,1.79432579e+00,-7.28979511e-01,7.45658596e+00,0.00000000e+00,6.69405312e+00,-9.22839295e-01,-8.61696415e+00,6.69405312e+00,0.00000000e+00,-1.69589975e+01,2.78340738e+00,2.68177628e+00,2.69268764e+00,3.24629068e+00,3.39504071e+00,5.66501665e+00,1.50927100e+02
"2019Q3",3.86529000e+03,8.25979199e+02,2.94643309e+02,5.68576550e+02,1.13888184e+06,1.39455575e+03,5.72667099e+02,5.71689611e+02,5.91618896e+02,5.54507172e+02,1.86922000e+00,6.25521231e+01,6.03410877e+00,1.79742817e+02,8.16666667e+00,2.16666667e+00,1.70000000e+00,5.88235294e-01,7.40400000e-01,1.35062129e+00,-5.30628251e+01,-3.00564698e+01,1.01220482e+00,6.18600000e+01,4.12487377e+02,2.30063553e+01,1.25868000e+00,7.94483109e-01,-5.30628251e+01,6.00000000e+00,8.07729599e+02,1.93397099e+02,5.64570518e+02,5.64173940e+02,-4.90082669e+01,5.11890841e+00,-2.53965819e+00,2.57925022e+00,3.75623594e+00,-1.87741380e+00,4.79900236e+00,1.50456345e+00,1.07411596e+02,6.32575739e+00,0.00000000e+00,3.69066390e+00,9.27911272e-01,-3.98485918e+01,3.69066390e+00,0.00000000e+00,-3.06307174e+01,-2.03303332e+01,2.63851187e+00,1.99820228e+00,2.64789748e+00,4.58765206e+00,1.66666578e-02,4.60431872e+00,2.88813752e+00,2.91752727e+00,4.54374608e+00,1.74178833e+00,8.90804939e+00,8.64181746e+00,0.00000000e+00,4.46701250e-01,2.35869475e-01,-1.98993953e+01,4.46701250e-01,0.00000000e+00,-2.59291525e+01,-4.19786583e+00,1.88130558e+00,1.89745482e+00,-1.20890731e+00,6.36425876e+00,-1.09205180e+01,1.52518165e+02
"2019Q4",3.90107000e+03,8.26900615e+02,3.14743361e+02,5.75175758e+02,1.22783588e+06,1.40207637e+03,5.73001130e+02,5.72688032e+02,5.92660180e+02,5.55281409e+02,2.08101000e+00,7.32853353e+01,6.25802060e+00,1.83386394e+02,7.66666667e+00,1.66666667e+00,1.70000000e+00,5.88235294e-01,7.34200000e-01,1.36202670e+00,-5.30628251e+01,-3.08973808e+01,1.10730568e+00,6.26600000e+01,4.13772329e+02,2.21654443e+01,1.24814000e+00,8.01192174e-01,-5.30628251e+01,6.00000000e+00,8.07610991e+02,2.12549074e+02,5.64572041e+02,5.64573640e+02,-5.05564302e+01,3.68566517e+00,2.63968310e+01,3.00824961e+01,1.33612434e+00,3.99368262e+00,4.16513384e+00,3.09694664e+00,4.29328485e+01,1.45743083e+01,0.00000000e+00,-3.36364385e+00,3.80403456e-01,5.13980731e+00,-3.36364385e+00,0.00000000e+00,-4.74432681e-01,7.66078986e+01,6.08898144e-03,1.59880131e+00,-6.19265336e+00,4.31818224e+00,5.99538891e+00,1.03135711e+01,2.61702188e+00,2.62360982e+00,4.67102803e+00,2.01307449e+00,1.40781991e+01,1.06510821e+01,0.00000000e+00,1.17825723e+00,8.07521027e-01,-7.24765294e+00,1.17825723e+00,0.00000000e+00,-1.51014734e+01,1.64103364e+01,1.60524678e+00,1.59820272e+00,-8.75748930e-01,4.43954018e+00,9.58173899e+00,1.53628050e+02
"2020Q1",3.90671000e+03,8.27045087e+02,3.11234153e+02,5.74054553e+02,1.21590158e+06,1.40109964e+03,5.73736626e+02,5.74581973e+02,5.93537166e+02,5.55706288e+02,2.43478822e+00,8.89859778e+01,6.39384715e+00,1.85533614e+02,7.25000000e+00,1.30000000e+00,1.70000000e+00,5.88235294e-01,7.65600000e-01,1.30616510e+00,-5.30628251e+01,-2.67095439e+01,4.58232420e-02,5.05100000e+01,3.92217134e+02,2.63532812e+01,1.30152000e+00,7.68332411e-01,-5.30628251e+01,6.00000000e+00,7.85361153e+02,2.10748972e+02,5.64953464e+02,5.65571845e+02,-4.65100845e+01,5.77885236e-01,-4.48481855e+00,-3.90693332e+00,2.94198081e+00,7.57576404e+00,3.50794553e+00,1.69951687e+00,6.28025701e+01,8.58888286e+00,0.00000000e+00,1.67513476e+01,-4.24592977e+00,-8.62207796e+01,1.67513476e+01,0.00000000e+00,-8.89993529e+01,-7.20040784e+00,1.52569209e+00,3.99281821e+00,1.61853829e+01,3.76651151e+00,4.65862611e+00,8.42513762e+00,3.01329826e+00,2.98781450e+00,4.20174661e+00,2.09733071e+00,6.95493372e+01,1.01181596e+01,0.00000000e+00,5.57303357e+00,-5.92215132e-01,-2.25239947e+01,5.57303357e+00,0.00000000e+00,-2.97075896e+01,1.29189903e+01,2.11412314e+00,2.09735550e+00,4.38458523e+00,6.24665449e+00,1.59359710e+01,1.55189713e+02
"2020Q2",3.64298000e+03,8.20055731e+02,3.11178388e+02,5.74036634e+02,1.13361664e+06,1.39409236e+03,5.74720424e+02,5.75139735e+02,5.94587886e+02,5.54493719e+02,1.57535278e+00,4.54479237e+01,6.43631230e+00,1.86195575e+02,7.16666667e+00,1.00000000e-01,1.70000000e+00,5.88235294e-01,7.63400000e-01,1.30992926e+00,-5.30628251e+01,-2.69973139e+01,-1.07370953e+01,2.93400000e+01,3.37895177e+02,2.60655112e+01,1.29778000e+00,7.70546626e-01,-5.30628251e+01,6.00000000e+00,7.22113716e+02,2.20084895e+02,5.65898353e+02,5.65671595e+02,-4.68647759e+01,-2.79574238e+01,-7.16761909e-02,-2.80291000e+01,3.93519425e+00,2.23104593e+00,4.20288018e+00,-4.85027673e+00,-1.74152216e+02,2.64784270e+00,0.00000000e+00,-1.15107993e+00,-4.31316742e+01,-2.17287826e+02,-1.15107993e+00,0.00000000e+00,-2.52989746e+02,3.73436930e+01,3.77955777e+00,3.99000812e-01,-1.41876586e+00,-4.64374125e+00,4.82516950e+00,1.81428253e-01,2.99238383e+00,2.98076970e+00,4.16874048e+00,3.62687559e-01,9.74869947e+00,8.03419781e+00,0.00000000e+00,3.98182194e+00,-1.15173223e+01,-8.45543474e+01,3.98182194e+00,0.00000000e+00,-9.32735622e+01,2.16052126e+01,1.98746268e+00,1.99720565e+00,2.80546529e+00,4.29834605e+00,6.50581786e+00,1.56264300e+02
"2020Q3",3.74630000e+03,8.22852397e+02,3.17433368e+02,5.76026793e+02,1.18920063e+06,1.39887919e+03,5.75325763e+02,5.74374010e+02,5.95792590e+02,5.55721603e+02,1.59992000e+00,4.69953628e+01,6.49139059e+00,1.87047677e+02,6.66666667e+00,1.00000000e-01,1.70000000e+00,5.88235294e-01,7.69100000e-01,1.30022104e+00,-5.30628251e+01,-2.62534279e+01,-1.51211634e+00,4.29600000e+01,3.76026945e+02,2.68093972e+01,1.30747000e+00,7.64835904e-01,-5.30628251e+01,6.00000000e+00,7.55035843e+02,2.29108950e+02,5.66357517e+02,5.65971445e+02,-4.67202550e+01,1.11866633e+01,7.96063515e+00,1.91472984e+01,2.42135374e+00,-3.06289982e+00,4.81881404e+00,4.91153580e+00,6.18975646e+00,3.40840923e+00,0.00000000e+00,2.97554390e+00,3.68999159e+01,1.52527071e+02,2.97554390e+00,0.00000000e+00,1.31688507e+02,3.60962200e+01,1.83665359e+00,1.19940047e+00,5.78083604e-01,-3.12680253e+00,7.45024284e+00,4.32344031e+00,2.65866329e+00,2.68439819e+00,4.17369340e+00,1.21443065e+00,-1.55567603e+01,7.30486077e+00,0.00000000e+00,3.80304194e+00,-2.52432116e+00,-3.64604317e+01,3.80304194e+00,0.00000000e+00,-5.26937560e+01,3.57118510e+01,1.78699811e+00,1.79750520e+00,2.28801182e+00,3.78565409e+00,-1.30082672e+01,1.57210713e+02
"2020Q4",3.82515000e+03,8.24935296e+02,3.12917860e+02,5.74594073e+02,1.19695775e+06,1.39952937e+03,5.75471804e+02,5.75165158e+02,5.97504954e+02,5.56513994e+02,1.69345001e+00,5.26767873e+01,6.36944415e+00,1.85151220e+02,6.41666667e+00,1.00000000e-01,1.70000000e+00,5.88235294e-01,7.56000000e-01,1.32275132e+00,-5.30628251e+01,-2.79713903e+01,-7.73468429e-01,4.42900000e+01,3.79075892e+02,2.50914348e+01,1.28520000e+00,7.78089013e-01,-5.30628251e+01,6.00000000e+00,7.61228815e+02,2.33979776e+02,5.66374210e+02,5.66371146e+02,-5.00045409e+01,8.33159838e+00,-5.73088100e+00,2.60071739e+00,5.84164023e-01,3.16459366e+00,6.84945809e+00,3.16956472e+00,2.27256981e+01,-7.58582803e+00,0.00000000e+00,-6.87184955e+00,2.95459166e+00,1.21957871e+01,-6.87184955e+00,0.00000000e+00,2.47718875e+01,1.94833047e+01,6.67758638e-02,1.59880127e+00,-1.31371436e+01,-1.96531923e+00,-5.81685147e-01,-2.54700438e+00,2.47067321e+00,2.47712595e+00,4.84477446e+00,1.23258516e+00,-2.06085480e+01,1.76482669e+00,0.00000000e+00,2.92599051e+00,-1.88077411e+00,-3.46964368e+01,2.92599051e+00,0.00000000e+00,-4.63821760e+01,2.14307025e+01,1.80216983e+00,1.79750519e+00,5.51889258e-01,1.79140306e+00,6.81810924e+00,1.57658564e+02
"2021Q1",3.95350000e+03,8.28235654e+02,3.17906699e+02,5.76175794e+02,1.25684414e+06,1.40441145e+03,5.77593349e+02,5.78407131e+02,5.99429369e+02,5.57587785e+02,1.36759507e+00,3.13053775e+01,6.35622191e+00,1.84943416e+02,6.25000000e+00,1.00000000e-01,1.70000000e+00,5.88235294e-01,7.59100000e-01,1.31734949e+00,-5.30628251e+01,-2.75621758e+01,-4.14371736e-01,6.08200000e+01,4.10791868e+02,2.55006493e+01,1.29047000e+00,7.74911466e-01,-5.30628251e+01,6.00000000e+00,7.94698234e+02,2.33552655e+02,5.67360372e+02,5.67966861e+02,-4.93981952e+01,1.32014321e+01,6.32688520e+00,1.95283173e+01,8.48618312e+00,1.29678904e+01,7.69765799e+00,4.29516490e+00,-8.54856392e+01,-8.31217145e-01,0.00000000e+00,1.63685794e+00,1.43638677e+00,1.26863906e+02,1.63685794e+00,0.00000000e+00,1.33877676e+02,-1.70848343e+00,3.94464743e+00,6.38286198e+00,2.42538307e+00,1.19056750e+00,2.12124079e+00,3.31180829e+00,3.85672378e+00,3.82515754e+00,5.89220257e+00,1.88149717e+00,-5.76806003e+01,-5.90198313e-01,0.00000000e+00,-8.52631912e-01,-4.60194978e-01,1.85747346e+01,-8.52631912e-01,0.00000000e+00,9.33708125e+00,2.28036836e+01,2.40690866e+00,2.39501613e+00,-2.88811070e+00,1.90830997e+01,2.83329567e+01,1.62429339e+02
"2021Q2",4.04733000e+03,8.30581268e+02,3.20680501e+02,5.77044530e+02,1.29789981e+06,1.40762580e+03,5.79259410e+02,5.79660471e+02,6.01394081e+02,5.59228003e+02,1.39859493e+00,3.35468110e+01,6.45525896e+00,1.86489514e+02,6.25000000e+00,1.00000000e-01,1.70000000e+00,5.88235294e-01,7.69800000e-01,1.29903871e+00,-5.30628251e+01,-2.61624538e+01,1.52434811e-01,6.88300000e+01,4.23163970e+02,2.69003713e+01,1.30866000e+00,7.64140418e-01,-5.30628251e+01,6.00000000e+00,8.00093540e+02,2.26381364e+02,5.69287438e+02,5.69064618e+02,-4.82971247e+01,9.38245677e+00,3.47494512e+00,1.28574019e+01,6.66424326e+00,5.01336309e+00,7.85884918e+00,6.56087087e+00,8.96573374e+00,6.18439213e+00,0.00000000e+00,5.59888793e+00,2.26722619e+00,4.94884057e+01,5.59888793e+00,0.00000000e+00,2.15812222e+01,-2.86851647e+01,7.70826297e+00,4.39102614e+00,4.40428201e+00,1.05255376e+01,3.00789612e+00,1.35334338e+01,4.53898604e+00,4.52073684e+00,6.80619482e+00,4.73428407e+00,-1.19011127e+01,2.93939044e-01,0.00000000e+00,8.34860054e-01,1.08895301e+01,8.52687924e+01,8.34860054e-01,0.00000000e+00,7.79798233e+01,6.29646917e+00,3.38908496e+00,3.39302247e+00,-1.43234873e+00,4.22819728e+00,6.46548266e+00,1.63486388e+02
"2021Q3",4.13894000e+03,8.32819500e+02,3.30753265e+02,5.80137268e+02,1.36896792e+06,1.41295677e+03,5.82043018e+02,5.81153014e+02,6.03376040e+02,5.60919495e+02,1.53926000e+00,4.31301782e+01,7.03384608e+00,1.95073365e+02,6.33333333e+00,1.00000000e-01,1.70000000e+00,5.88235294e-01,7.73600000e-01,1.29265770e+00,-5.30628251e+01,-2.56700335e+01,1.37582927e+00,7.34700000e+01,4.29687716e+02,2.73927916e+01,1.31512000e+00,7.60386885e-01,-5.30628251e+01,6.00000000e+00,8.07714152e+02,2.23222601e+02,5.71435771e+02,5.71054993e+02,-4.70030551e+01,8.95292478e+00,1.23709485e+01,2.13238733e+01,1.11344329e+01,5.97017008e+00,7.92783607e+00,6.76596770e+00,3.83334687e+01,3.43354037e+01,0.00000000e+00,1.96968132e+00,4.89357782e+00,2.60949853e+01,1.96968132e+00,0.00000000e+00,3.04824511e+01,-1.26350533e+01,8.59333058e+00,7.96150224e+00,5.17627811e+00,9.96710302e+00,4.11047446e+00,1.40775775e+01,6.71725582e+00,6.77900431e+00,7.58345033e+00,5.19789205e+00,-3.86518465e+00,8.02568766e+00,0.00000000e+00,5.83394408e-01,2.88794561e+00,5.36607709e+01,5.83394408e-01,0.00000000e+00,5.26783092e+01,-5.88634916e+00,5.07825421e+00,5.08354791e+00,-2.82800108e-01,1.70636715e+01,1.32372836e+00,1.67752306e+02
"2021Q4",4.24820000e+03,8.35425064e+02,3.40179809e+02,5.82947433e+02,1.44515187e+06,1.41837250e+03,5.85898438e+02,5.85621740e+02,6.08595564e+02,5.62989517e+02,2.38260200e+00,8.68193168e+01,7.07499866e+00,1.95656725e+02,7.08333333e+00,1.00000000e-01,1.70000000e+00,5.88235294e-01,8.18000000e-01,1.22249389e+00,-5.30628251e+01,-2.00892942e+01,2.45158150e+00,7.95800000e+01,4.37676280e+02,3.29735309e+01,1.39060000e+00,7.19114051e-01,-5.30628251e+01,6.00000000e+00,8.12094369e+02,2.15025572e+02,5.74043930e+02,5.74039994e+02,-4.27864201e+01,1.04222590e+01,1.12406615e+01,2.16629204e+01,1.54216779e+01,1.78749036e+01,2.08780948e+01,8.28008992e+00,1.74756555e+02,2.33344127e+00,0.00000000e+00,2.23229570e+01,4.30300892e+00,3.19542581e+01,2.23229570e+01,0.00000000e+00,1.75208649e+01,-3.27881132e+01,1.04326356e+01,1.19400049e+01,1.68665402e+01,1.04897682e+01,8.35336007e+00,1.88431282e+01,1.04266343e+01,1.04565818e+01,1.10906095e+01,6.47552335e+00,3.41425295e+01,1.05055050e+01,0.00000000e+00,7.88209604e+00,3.22504993e+00,5.86003887e+01,7.88209604e+00,0.00000000e+00,5.08655535e+01,-1.89542037e+01,7.66971914e+00,7.66884882e+00,7.21812084e+00,2.70627768e+01,3.17230004e+01,1.74518001e+02
"2022Q1",4.33750000e+03,8.37505342e+02,3.47436700e+02,5.85058249e+02,1.50700668e+06,1.42256359e+03,5.89127738e+02,5.89852655e+02,6.16434420e+02,5.65253407e+02,1.28731522e+00,2.52558822e+01,7.13844326e+00,1.96549472e+02,7.58333333e+00,1.33333333e-01,1.70000000e+00,5.88235294e-01,8.85200000e-01,1.12968821e+00,-5.30628251e+01,-1.21941671e+01,2.38487540e+00,1.00300000e+02,4.60816569e+02,4.08686580e+01,1.50484000e+00,6.64522474e-01,-5.30628251e+01,6.00000000e+00,8.27726987e+02,2.23957663e+02,5.76422286e+02,5.77023919e+02,-3.95008481e+01,8.32111258e+00,8.44326411e+00,1.67643767e+01,1.29172021e+01,1.69236615e+01,3.13554227e+01,9.05556049e+00,-2.46253738e+02,3.57098694e+00,0.00000000e+00,3.15805086e+01,-2.66824376e-01,9.25611560e+01,3.15805086e+01,0.00000000e+00,6.25304738e+01,3.57283605e+01,9.51342462e+00,1.19356977e+01,1.31422880e+01,9.26968827e+00,8.88245480e+00,1.81521431e+01,1.15343890e+01,1.14455246e+01,1.70050507e+01,7.66562224e+00,-6.04949534e+00,1.16060560e+01,0.00000000e+00,1.53680087e+01,2.79924714e+00,5.00247013e+01,1.53680087e+01,0.00000000e+00,3.30287530e+01,-9.59499266e+00,9.06191343e+00,9.05705775e+00,9.89734707e+00,2.08593494e+01,2.85622436e+01,1.79732838e+02
"2022Q2",4.39183000e+03,8.38750128e+02,3.58957411e+02,5.88320375e+02,1.57647993e+06,1.42707050e+03,5.92016374e+02,5.92369414e+02,6.21654508e+02,5.67510106e+02,1.45179978e+00,3.72804017e+01,7.37190236e+00,1.99767579e+02,7.75000000e+00,7.66666667e-01,1.70000000e+00,5.88235294e-01,9.17400000e-01,1.09003706e+00,-5.30628251e+01,-8.62116968e+00,1.19995580e+00,1.13540000e+02,4.73215520e+02,4.44416554e+01,1.55958000e+00,6.41198271e-01,-5.30628251e+01,6.00000000e+00,8.34549301e+02,2.28571021e+02,5.79335350e+02,5.79116504e+02,-3.82593037e+01,4.97914058e+00,1.30485042e+01,1.80276447e+01,1.15545419e+01,1.00670364e+01,2.08803538e+01,9.02679532e+00,4.80980780e+01,1.28724290e+01,0.00000000e+00,1.42919896e+01,-4.73967842e+00,4.95958011e+01,1.42919896e+01,0.00000000e+00,2.72892552e+01,1.84534334e+01,1.16522559e+01,8.37034207e+00,4.96617771e+00,8.16885923e+00,1.12758446e+01,1.94447038e+01,1.27569637e+01,1.27089429e+01,2.02604268e+01,8.28210336e+00,3.73359071e+00,1.32780652e+01,0.00000000e+00,1.75412841e+01,1.04752099e+00,5.00515501e+01,1.75412841e+01,0.00000000e+00,3.44557613e+01,2.18965685e+00,1.00479117e+01,1.00518867e+01,1.00378210e+01,1.13265424e+01,1.40259898e+01,1.82564473e+02